feature,importance_normalized,importance_scaled,n_models,models
item_HYDRALAZINE HCL,0.009152841966354403,0.0010953539507986478,3,"catboost,xgboost,xgboost_rf"
item_LIDODERM,0.00906158095652844,0.001084432413200358,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_LABETALOL HYDROCHLORIDE,0.009055696764580703,0.0010837282305081514,3,"catboost,xgboost,xgboost_rf"
item_BENZTROPINE MESYLATE,0.00902068023793426,0.0010795376751651857,3,"catboost,xgboost,xgboost_rf"
item_CEFTRIAXONE SODIUM,0.008984155779655728,0.0010751666601489496,3,"catboost,xgboost,xgboost_rf"
item_LOSARTAN POTASSIUM,0.008981772322952076,0.0010748814231999779,3,"catboost,xgboost,xgboost_rf"
item_MEROPENEM,0.00898083288836532,0.001074768997639709,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_CALCITRATE,0.008964759992629216,0.0010728454956378133,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_TRIAMTERENE/HYDROCHLOROTH,0.008809317290217252,0.0010542431010115703,3,"catboost,xgboost,xgboost_rf"
item_ACYCLOVIR,0.008798163186054342,0.0010529082487211697,3,"catboost,xgboost,xgboost_rf"
item_TACROLIMUS,0.00873124280896283,0.0010448996433387566,3,"catboost,xgboost,xgboost_rf"
item_IBU,0.008710550907970955,0.0010424233681463845,3,"catboost,xgboost,xgboost_rf"
item_FLUOXETINE HCL,0.00869982315958005,0.0010411395394048476,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE HCL,0.008690358429075283,0.0010400068606161445,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_OFLOXACIN,0.008542304307170902,0.0010222886843430125,3,"catboost,xgboost,xgboost_rf"
item_HUMALOG MIX 75/25 KWIKPEN,0.008519195302556985,0.0010195231455523367,3,"catboost,xgboost,xgboost_rf"
item_ADACEL,0.008472566496642119,0.001013942906434517,3,"catboost,xgboost,xgboost_rf"
item_SODIUM CHLORIDE 0.45%,0.008386388380201526,0.0010036296572095676,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_MULTAQ,0.00834791698200171,0.00099902564479836,3,"catboost,xgboost,xgboost_rf"
item_DOFETILIDE,0.008322775684928846,0.0009960168941635086,3,"catboost,xgboost,xgboost_rf"
item_TRAMADOL HYDROCHLORIDE/AC,0.008301068541337447,0.0009934191211897377,3,"catboost,xgboost,xgboost_rf"
item_CHLORPROMAZINE HCL,0.008281099457486929,0.000991029348158596,3,"catboost,xgboost,xgboost_rf"
item_GLIMEPIRIDE,0.008219367487474313,0.000983641658357716,3,"catboost,xgboost,xgboost_rf"
item_RALOXIFENE HYDROCHLORIDE,0.0082182521200253,0.0009835081782707266,3,"catboost,xgboost,xgboost_rf"
item_PROMETHAZINE HCL,0.008204923887407062,0.0009819131401056173,3,"catboost,xgboost,xgboost_rf"
